GEOID20,Name,District
42101000515,PHILADELPHIA WARD 05 PRECINCT 15,4
42101000518,PHILADELPHIA WARD 05 PRECINCT 18,3
42101000519,PHILADELPHIA WARD 05 PRECINCT 19,3
42101000520,PHILADELPHIA WARD 05 PRECINCT 20,4
42101000522,PHILADELPHIA WARD 05 PRECINCT 22,3
42101000523,PHILADELPHIA WARD 05 PRECINCT 23,4
42101000568,PHILADELPHIA WARD 05 PRECINCT 28,3
42101000570,PHILADELPHIA WARD 05 PRECINCT 29,3
42101000571,PHILADELPHIA WARD 05 PRECINCT 01,3
42101000572,PHILADELPHIA WARD 05 PRECINCT 12,3
42101000573,PHILADELPHIA WARD 05 PRECINCT 13,3
42101000574,PHILADELPHIA WARD 05 PRECINCT 24,3
42101000575,PHILADELPHIA WARD 05 PRECINCT 35,3
42101000576,PHILADELPHIA WARD 05 PRECINCT 36,3
42101000577,PHILADELPHIA WARD 05 PRECINCT 37,3
42101000601,PHILADELPHIA WARD 06 PRECINCT 01,5
42101000602,PHILADELPHIA WARD 06 PRECINCT 02,5
42101000603,PHILADELPHIA WARD 06 PRECINCT 03,5
42101000604,PHILADELPHIA WARD 06 PRECINCT 04,5
42101000605,PHILADELPHIA WARD 06 PRECINCT 05,5
42101000606,PHILADELPHIA WARD 06 PRECINCT 06,5
42101000607,PHILADELPHIA WARD 06 PRECINCT 07,5
42101000608,PHILADELPHIA WARD 06 PRECINCT 08,5
42101000609,PHILADELPHIA WARD 06 PRECINCT 09,5
42101000610,PHILADELPHIA WARD 06 PRECINCT 10,5
42101000611,PHILADELPHIA WARD 06 PRECINCT 11,5
42101000612,PHILADELPHIA WARD 06 PRECINCT 12,5
42101000613,PHILADELPHIA WARD 06 PRECINCT 13,5
42101000614,PHILADELPHIA WARD 06 PRECINCT 14,5
42101000615,PHILADELPHIA WARD 06 PRECINCT 15,5
42101000616,PHILADELPHIA WARD 06 PRECINCT 16,5
42101000617,PHILADELPHIA WARD 06 PRECINCT 17,5
42101000618,PHILADELPHIA WARD 06 PRECINCT 18,5
42101000701,PHILADELPHIA WARD 07 PRECINCT 01,4
42101000702,PHILADELPHIA WARD 07 PRECINCT 02,4
42101000703,PHILADELPHIA WARD 07 PRECINCT 03,4
42101000704,PHILADELPHIA WARD 07 PRECINCT 04,4
42101000705,PHILADELPHIA WARD 07 PRECINCT 05,4
42101000706,PHILADELPHIA WARD 07 PRECINCT 06,4
42101000707,PHILADELPHIA WARD 07 PRECINCT 07,4
42101000708,PHILADELPHIA WARD 07 PRECINCT 08,4
42101000709,PHILADELPHIA WARD 07 PRECINCT 09,4
42101000710,PHILADELPHIA WARD 07 PRECINCT 10,4
42101000711,PHILADELPHIA WARD 07 PRECINCT 11,4
42101000712,PHILADELPHIA WARD 07 PRECINCT 12,4
42101000713,PHILADELPHIA WARD 07 PRECINCT 13,4
42101000714,PHILADELPHIA WARD 07 PRECINCT 14,4
42101000715,PHILADELPHIA WARD 07 PRECINCT 15,4
42101000716,PHILADELPHIA WARD 07 PRECINCT 16,4
42101000717,PHILADELPHIA WARD 07 PRECINCT 17,4
42101000718,PHILADELPHIA WARD 07 PRECINCT 18,4
42101000719,PHILADELPHIA WARD 07 PRECINCT 19,4
42101000720,PHILADELPHIA WARD 07 PRECINCT 20,4
42101000721,PHILADELPHIA WARD 07 PRECINCT 21,4
42101000722,PHILADELPHIA WARD 07 PRECINCT 22,4
42101000723,PHILADELPHIA WARD 07 PRECINCT 23,4
42101000801,PHILADELPHIA WARD 08 PRECINCT 01,3
42101000802,PHILADELPHIA WARD 08 PRECINCT 02,3
42101000803,PHILADELPHIA WARD 08 PRECINCT 03,3
